country_name,country_code,series_name,series_code,year,value
Afghanistan,AFG,"School enrollment, primary (% gross)",SE.PRM.ENRR,2014,109.115516662598
India,IND,"School enrollment, primary (% gross)",SE.PRM.ENRR,2014,111.584541320801
Pakistan,PAK,"School enrollment, primary (% gross)",SE.PRM.ENRR,2014,74.3189018516843
Albania,ALB,"School enrollment, primary (% gross)",SE.PRM.ENRR,2014,105.770576477051
Denmark,DNK,"School enrollment, primary (% gross)",SE.PRM.ENRR,2014,101.176940917969
France,FRA,"School enrollment, primary (% gross)",SE.PRM.ENRR,2014,101.280349731445
Belarus,BLR,"School enrollment, primary (% gross)",SE.PRM.ENRR,2014,95.1305313110352
Algeria,DZA,"School enrollment, primary (% gross)",SE.PRM.ENRR,2014,111.686698913574
Israel,ISR,"School enrollment, primary (% gross)",SE.PRM.ENRR,2014,97.2882995605469
Tunisia,TUN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2014,105.901481628418
China,CHN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2014,97.9485015869141
Philippines,PHL,"School enrollment, primary (% gross)",SE.PRM.ENRR,2014,109.671516584806
Indonesia,IDN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2014,110.910578364806
Japan,JPN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2014,102.415283203125
Liberia,LBR,"School enrollment, primary (% gross)",SE.PRM.ENRR,2014,92.6740338678077
Nigeria,NGA,"School enrollment, primary (% gross)",SE.PRM.ENRR,2014,87.4456405639648
Guinea,GIN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2014,96.1610717773438
Zimbabwe,ZWE,"School enrollment, primary (% gross)",SE.PRM.ENRR,2014,102.422207446296
Dominica,DMA,"School enrollment, primary (% gross)",SE.PRM.ENRR,2014,108.901779174805
Jamaica,JAM,"School enrollment, primary (% gross)",SE.PRM.ENRR,2014,96.3857269287109
Chile,CHL,"School enrollment, primary (% gross)",SE.PRM.ENRR,2014,101.930870056152
Guatemala,GTM,"School enrollment, primary (% gross)",SE.PRM.ENRR,2014,105.432632446289
Brazil,BRA,"School enrollment, primary (% gross)",SE.PRM.ENRR,2014,110.316459655762
Bermuda,BMU,"School enrollment, primary (% gross)",SE.PRM.ENRR,2014,104.431991577148
Canada,CAN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2014,99.4990463256836
United States,USA,"School enrollment, primary (% gross)",SE.PRM.ENRR,2014,99.6733779907227
Afghanistan,AFG,"School enrollment, primary (% gross)",SE.PRM.ENRR,2015,106.182418823242
India,IND,"School enrollment, primary (% gross)",SE.PRM.ENRR,2015,112.937843322754
Pakistan,PAK,"School enrollment, primary (% gross)",SE.PRM.ENRR,2015,74.8479908789247
Albania,ALB,"School enrollment, primary (% gross)",SE.PRM.ENRR,2015,105.688652038574
Denmark,DNK,"School enrollment, primary (% gross)",SE.PRM.ENRR,2015,100.882141113281
France,FRA,"School enrollment, primary (% gross)",SE.PRM.ENRR,2015,101.989639282227
Belarus,BLR,"School enrollment, primary (% gross)",SE.PRM.ENRR,2015,96.0522003173828
Romania,ROU,"School enrollment, primary (% gross)",SE.PRM.ENRR,2015,89.0534133911133
Algeria,DZA,"School enrollment, primary (% gross)",SE.PRM.ENRR,2015,110.842269897461
Israel,ISR,"School enrollment, primary (% gross)",SE.PRM.ENRR,2015,97.7587738037109
Tunisia,TUN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2015,106.111831665039
China,CHN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2015,97.1544418334961
Philippines,PHL,"School enrollment, primary (% gross)",SE.PRM.ENRR,2015,108.664395096777
Indonesia,IDN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2015,109.361980599771
Japan,JPN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2015,102.41911315918
Angola,AGO,"School enrollment, primary (% gross)",SE.PRM.ENRR,2015,119.14225769043
Liberia,LBR,"School enrollment, primary (% gross)",SE.PRM.ENRR,2015,90.1829739124477
Nigeria,NGA,"School enrollment, primary (% gross)",SE.PRM.ENRR,2015,83.7498270610008
Guinea,GIN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2015,89.7453996477762
Zimbabwe,ZWE,"School enrollment, primary (% gross)",SE.PRM.ENRR,2015,101.52105049101
Dominica,DMA,"School enrollment, primary (% gross)",SE.PRM.ENRR,2015,102.335998535156
Jamaica,JAM,"School enrollment, primary (% gross)",SE.PRM.ENRR,2015,95.2253189086914
Chile,CHL,"School enrollment, primary (% gross)",SE.PRM.ENRR,2015,101.712509155273
Guatemala,GTM,"School enrollment, primary (% gross)",SE.PRM.ENRR,2015,104.099853515625
Brazil,BRA,"School enrollment, primary (% gross)",SE.PRM.ENRR,2015,109.152183532715
Bermuda,BMU,"School enrollment, primary (% gross)",SE.PRM.ENRR,2015,105.57536315918
Canada,CAN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2015,99.8411407470703
United States,USA,"School enrollment, primary (% gross)",SE.PRM.ENRR,2015,100.299911499023
Afghanistan,AFG,"School enrollment, primary (% gross)",SE.PRM.ENRR,2016,106.150283813477
India,IND,"School enrollment, primary (% gross)",SE.PRM.ENRR,2016,119.512832641602
Pakistan,PAK,"School enrollment, primary (% gross)",SE.PRM.ENRR,2016,79.8399701958586
Albania,ALB,"School enrollment, primary (% gross)",SE.PRM.ENRR,2016,105.324783325195
Denmark,DNK,"School enrollment, primary (% gross)",SE.PRM.ENRR,2016,101.041496276855
France,FRA,"School enrollment, primary (% gross)",SE.PRM.ENRR,2016,102.260429382324
Belarus,BLR,"School enrollment, primary (% gross)",SE.PRM.ENRR,2016,97.3474578857422
Romania,ROU,"School enrollment, primary (% gross)",SE.PRM.ENRR,2016,87.5895919799805
Algeria,DZA,"School enrollment, primary (% gross)",SE.PRM.ENRR,2016,110.688102722168
Israel,ISR,"School enrollment, primary (% gross)",SE.PRM.ENRR,2016,97.1344833374023
Tunisia,TUN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2016,106.178161621094
China,CHN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2016,97.3906173706055
Philippines,PHL,"School enrollment, primary (% gross)",SE.PRM.ENRR,2016,106.215741316229
Indonesia,IDN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2016,107.16207384874
Japan,JPN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2016,102.216911315918
Angola,AGO,"School enrollment, primary (% gross)",SE.PRM.ENRR,2016,107.026964874435
Liberia,LBR,"School enrollment, primary (% gross)",SE.PRM.ENRR,2016,84.1511009480743
Nigeria,NGA,"School enrollment, primary (% gross)",SE.PRM.ENRR,2016,81.9161682128906
Guinea,GIN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2016,94.3621520996094
Zimbabwe,ZWE,"School enrollment, primary (% gross)",SE.PRM.ENRR,2016,100.031076404742
Dominica,DMA,"School enrollment, primary (% gross)",SE.PRM.ENRR,2016,102.390937805176
Jamaica,JAM,"School enrollment, primary (% gross)",SE.PRM.ENRR,2016,94.3311004638672
Chile,CHL,"School enrollment, primary (% gross)",SE.PRM.ENRR,2016,101.585189819336
Guatemala,GTM,"School enrollment, primary (% gross)",SE.PRM.ENRR,2016,103.013893127441
Brazil,BRA,"School enrollment, primary (% gross)",SE.PRM.ENRR,2016,108.757843017578
Bermuda,BMU,"School enrollment, primary (% gross)",SE.PRM.ENRR,2016,104.325569490658
Canada,CAN,"School enrollment, primary (% gross)",SE.PRM.ENRR,2016,98.5470275878906
United States,USA,"School enrollment, primary (% gross)",SE.PRM.ENRR,2016,101.362861633301
Afghanistan,AFG,"School enrollment, primary (% gross)",SE.PRM.ENRR,2017,106.129997253418
India,IND,"School enrollment, primary (% gross)",SE.PRM.ENRR,2017,117.868171691895
