country_name,country_code,series_name,series_code,year,value
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2014,8.31087017059326
India,IND,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2014,25.991325378418
Pakistan,PAK,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2014,8.92643165588379
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2014,65.5507125854492
Denmark,DNK,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2014,81.3143615722656
France,FRA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2014,61.5104789733887
Belarus,BLR,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2014,99.8547286987305
Romania,ROU,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2014,51.0950393676758
Algeria,DZA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2014,36.0622482299805
Israel,ISR,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2014,62.1056289672852
Tunisia,TUN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2014,33.0825691223145
China,CHN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2014,43.8821907043457
Philippines,PHL,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2014,35.9550590515137
Indonesia,IDN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2014,30.5253391265869
Japan,JPN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2014,62.7269897460938
Guinea,GIN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2014,10.891300201416
Chile,CHL,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2014,83.6629791259766
Guatemala,GTM,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2014,18.3490905761719
Brazil,BRA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2014,47.1568717956543
Bermuda,BMU,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2014,35.0966110229492
Canada,CAN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2014,67.2278594970703
United States,USA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2014,88.6268692016602
India,IND,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2015,27.2845668792725
Pakistan,PAK,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2015,8.61171054840088
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2015,61.9608497619629
Denmark,DNK,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2015,83.300407409668
France,FRA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2015,62.7859306335449
Belarus,BLR,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2015,98.0328598022461
Romania,ROU,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2015,49.3609886169434
Algeria,DZA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2015,38.3309783935547
Israel,ISR,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2015,60.8227882385254
Tunisia,TUN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2015,33.0580787658691
China,CHN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2015,47.4353790283203
Philippines,PHL,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2015,38.1037750244141
Indonesia,IDN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2015,33.0326499938965
Japan,JPN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2015,62.4726600646973
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2015,8.68379020690918
Guinea,GIN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2015,8.70392799377441
Zimbabwe,ZWE,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2015,10.6008701324463
Jamaica,JAM,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2015,26.4131107330322
Chile,CHL,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2015,86.4181137084961
Guatemala,GTM,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2015,22.0697193145752
Brazil,BRA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2015,48.4340400695801
Bermuda,BMU,"School enrollment, tertiary (% gross)",SE.TER.ENRR,2015,31.9435291290283
